Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link,,,,,,,,,,,,,,,,,,
LDLR,Low Density Lipoprotein Receptor,Protein Coding,P01130,58,GC19P011212,209.861358642578,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LDLR,,,,,,,,,,,,,,,,,,
APOB,Apolipoprotein B,Protein Coding,P04114,53,GC02M020956,141.657760620117,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOB,,,,,,,,,,,,,,,,,,
PCSK9,Proprotein Convertase Subtilisin/Kexin Type 9,Protein Coding,Q8NBP7,57,GC01P055039,102.985328674316,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCSK9,,,,,,,,,,,,,,,,,,
LDLR-AS1,LDLR Antisense RNA 1,RNA Gene,,10,GC19M011144,59.9899711608887,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LDLR-AS1,,,,,,,,,,,,,,,,,,
LDLRAP1,Low Density Lipoprotein Receptor Adaptor Protein 1,Protein Coding,Q5SW96,48,GC01P025543,46.9854049682617,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LDLRAP1,,,,,,,,,,,,,,,,,,
MIR6886,MicroRNA 6886,RNA Gene,,12,GC19P011244,38.2420692443848,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR6886,,,,,,,,,,,,,,,,,,
LOC106560211,APOB 5' Regulatory Region,Functional Element,,4,GC02P021041,33.5156440734863,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC106560211,,,,,,,,,,,,,,,,,,
APOE,Apolipoprotein E,Protein Coding,P02649,57,GC19P083472,32.1511001586914,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE,,,,,,,,,,,,,,,,,,
EPHX2,Epoxide Hydrolase 2,Protein Coding,P34913,54,GC08P027490,25.8871631622314,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPHX2,,,,,,,,,,,,,,,,,,
GHR,Growth Hormone Receptor,Protein Coding,P10912,53,GC05P042429,24.5856227874756,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHR,,,,,,,,,,,,,,,,,,
APOA2,Apolipoprotein A2,Protein Coding,P02652,52,GC01M161222,23.1838283538818,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA2,,,,,,,,,,,,,,,,,,
STAP1,Signal Transducing Adaptor Family Member 1,Protein Coding,Q9ULZ2,45,GC04P067558,23.1073818206787,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAP1,,,,,,,,,,,,,,,,,,
ABCG5,ATP Binding Cassette Subfamily G Member 5,Protein Coding,Q9H222,52,GC02M043806,21.5191745758057,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG5,,,,,,,,,,,,,,,,,,
ABCG8,ATP Binding Cassette Subfamily G Member 8,Protein Coding,Q9H221,49,GC02P043828,20.1993846893311,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG8,,,,,,,,,,,,,,,,,,
