Gene Map Search - 'familial hypercholesterolemia '
Downloaded:	Jun 06, 2023
Copyright (c) 1966-2023 Johns Hopkins University OMIM, data are provided for research purposes only.

Cytogenetic location	Genomic coordinates (From NCBI/GRCh38)	Gene/Locus	Gene/Locus name	Gene/Locus MIM number	Approved Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotype	Phenotype MIM number	Inheritance	Pheno map key	Mouse Gene (from MGI)
1p36.23	1:7784291-7845177	PER3, FASPS3	Period circadian regulator 3	603427	PER3	8863	ENSG00000049246,ENST00000377532;;;ENST00000377532	mutation identified in 1 FASPS3 family	?Advanced sleep phase syndrome, familial, 3	616882	Autosomal dominant	3	Per3
1p36.22	1:11845709-11847783	NPPA, PND, ANP, ATFB6, ATRST2	Natriuretic peptide precursor A	108780	NPPA	4878	ENSG00000175206,ENST00000376480;;;ENST00000376480		Atrial fibrillation, familial, 6	612201	Autosomal dominant	3	Nppa
1p36.22	1:11845709-11847783	NPPA, PND, ANP, ATFB6, ATRST2	Natriuretic peptide precursor A	108780	NPPA	4878	ENSG00000175206,ENST00000376480;;;ENST00000376480		Atrial standstill 2	615745	Autosomal recessive	3	Nppa
1p36.13	1:20028408-20091911	PLA2G5, FRFB	Phospholipase A2, group V	601192	PLA2G5	5322	ENSG00000127472,ENST00000375108;;;ENST00000375108		[Fleck retina, familial benign]	228980	Autosomal recessive	3	Pla2g5
1p36.12-p35.1	1:20100001-34300000	BFIS4, BFIC4	Seizures, benign familial infantile, 4	612627		100271922		between D1S2864 and D1S2830	Seizures, benign familial infantile, 4	612627		2	
1p36.11	1:25543606-25590400	LDLRAP1, ARH, FHCB2, FHCB1, FHCL4	Low density lipoprotein receptor adaptor protein 1	605747	LDLRAP1	26119	ENSG00000157978,ENST00000374338;;;ENST00000374338		Hypercholesterolemia, familial, 4	603813	Autosomal recessive	3	Ldlrap1
1p33	1:47416285-47418052	FOXE3, FKHL12, ASMD, CTRCT34, ASGD2, AAT11	Forkhead box E3	601094	FOXE3	2301	ENSG00000186790,ENST00000335071;;;ENST00000335071		Anterior segment dysgenesis 2, multiple subtypes	610256	Autosomal recessive	3	Foxe3
1p33	1:47416285-47418052	FOXE3, FKHL12, ASMD, CTRCT34, ASGD2, AAT11	Forkhead box E3	601094	FOXE3	2301	ENSG00000186790,ENST00000335071;;;ENST00000335071		Cataract 34, multiple types	612968		3	Foxe3
1p33	1:47416285-47418052	FOXE3, FKHL12, ASMD, CTRCT34, ASGD2, AAT11	Forkhead box E3	601094	FOXE3	2301	ENSG00000186790,ENST00000335071;;;ENST00000335071		{Aortic aneurysm, familial thoracic 11, susceptibility to}	617349	Autosomal dominant	3	Foxe3
1p32.3	1:55039548-55064852	PCSK9, NARC1, HCHOLA3, FH3, LDLCQ1, FHCL3	Proprotein convertase, subtilisin/kexin-type, 9	607786	PCSK9	255738	ENSG00000169174,ENST00000302118;;;ENST00000302118		Hypercholesterolemia, familial, 3	603776	Autosomal dominant	3	Pcsk9
1p32.3	1:55039548-55064852	PCSK9, NARC1, HCHOLA3, FH3, LDLCQ1, FHCL3	Proprotein convertase, subtilisin/kexin-type, 9	607786	PCSK9	255738	ENSG00000169174,ENST00000302118;;;ENST00000302118		{Low density lipoprotein cholesterol level QTL 1}	603776	Autosomal dominant	3	Pcsk9
1p31.3	1:62597520-62606313	ANGPTL3, ANGPT5, FHBL2	Angiopoietin-like 3	604774	ANGPTL3	27329	ENSG00000132855,ENST00000371129;;;ENST00000371129		Hypobetalipoproteinemia, familial, 2	605019	Autosomal recessive	3	Angptl3
1p13.2	1:112911847-112956196	SLC16A1, MCT1, HHF7, MCT1D	Solute carrier family 16 (monocarboxylic acid transporters), member 1	600682	SLC16A1	6566	ENSG00000155380,ENST00000369626;;;ENST00000369626		Erythrocyte lactate transporter defect	245340	Autosomal dominant	3	Slc16a1
1p13.2	1:112911847-112956196	SLC16A1, MCT1, HHF7, MCT1D	Solute carrier family 16 (monocarboxylic acid transporters), member 1	600682	SLC16A1	6566	ENSG00000155380,ENST00000369626;;;ENST00000369626		Hyperinsulinemic hypoglycemia, familial, 7	610021	Autosomal dominant	3	Slc16a1
1p13.2	1:112911847-112956196	SLC16A1, MCT1, HHF7, MCT1D	Solute carrier family 16 (monocarboxylic acid transporters), member 1	600682	SLC16A1	6566	ENSG00000155380,ENST00000369626;;;ENST00000369626		Monocarboxylate transporter 1 deficiency	616095	Autosomal dominant; Autosomal recessive	3	Slc16a1
1q21.2	1:147756199-147773351	GJA5, CX40, ATFB11	Gap junction protein, alpha-5, 40kD (connexin 40)	121013	GJA5	2702	ENSG00000265107,ENST00000579774;;;ENST00000579774		Atrial fibrillation, familial, 11	614049	Autosomal dominant	3	Gja5
1q21.2	1:147756199-147773351	GJA5, CX40, ATFB11	Gap junction protein, alpha-5, 40kD (connexin 40)	121013	GJA5	2702	ENSG00000265107,ENST00000579774;;;ENST00000579774		Atrial standstill, digenic (GJA5/SCN5A)	108770	Autosomal dominant	3	Gja5
1q21.2	1:149782694-149800609	FCGR1A, IGFR1, CD64	Fc fragment of IgG receptor Ia	146760	FCGR1A	2209	ENSG00000150337,ENST00000369168;;;ENST00000369168		[IgG receptor I, phagocytic, familial deficiency of]			3	Fcgr1
1q22	1:156082573-156140081	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS	Lamin A/C	150330	LMNA	4000	ENSG00000160789,ENST00000368300;;;ENST00000368300		Cardiomyopathy, dilated, 1A	115200	Autosomal dominant	3	Lmna
1q22	1:156082573-156140081	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS	Lamin A/C	150330	LMNA	4000	ENSG00000160789,ENST00000368300;;;ENST00000368300		Charcot-Marie-Tooth disease, type 2B1	605588	Autosomal recessive	3	Lmna
1q22	1:156082573-156140081	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS	Lamin A/C	150330	LMNA	4000	ENSG00000160789,ENST00000368300;;;ENST00000368300		Emery-Dreifuss muscular dystrophy 2, autosomal dominant	181350	Autosomal dominant	3	Lmna
1q22	1:156082573-156140081	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS	Lamin A/C	150330	LMNA	4000	ENSG00000160789,ENST00000368300;;;ENST00000368300		Emery-Dreifuss muscular dystrophy 3, autosomal recessive	616516	Autosomal recessive	3	Lmna
1q22	1:156082573-156140081	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS	Lamin A/C	150330	LMNA	4000	ENSG00000160789,ENST00000368300;;;ENST00000368300		Heart-hand syndrome, Slovenian type	610140	Autosomal dominant	3	Lmna
1q22	1:156082573-156140081	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS	Lamin A/C	150330	LMNA	4000	ENSG00000160789,ENST00000368300;;;ENST00000368300		Hutchinson-Gilford progeria	176670	Autosomal dominant	3	Lmna
1q22	1:156082573-156140081	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS	Lamin A/C	150330	LMNA	4000	ENSG00000160789,ENST00000368300;;;ENST00000368300		Lipodystrophy, familial partial, type 2	151660	Autosomal dominant	3	Lmna
1q22	1:156082573-156140081	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS	Lamin A/C	150330	LMNA	4000	ENSG00000160789,ENST00000368300;;;ENST00000368300		Malouf syndrome	212112	Autosomal dominant	3	Lmna
1q22	1:156082573-156140081	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS	Lamin A/C	150330	LMNA	4000	ENSG00000160789,ENST00000368300;;;ENST00000368300		Mandibuloacral dysplasia	248370	Autosomal recessive	3	Lmna
1q22	1:156082573-156140081	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS	Lamin A/C	150330	LMNA	4000	ENSG00000160789,ENST00000368300;;;ENST00000368300		Muscular dystrophy, congenital	613205	Autosomal dominant	3	Lmna
